,_time,_value,_field,device,exercise
88,2024-10-18T10:18:50.939798Z,75,heartRate,R02_000D,AL
89,2024-10-18T10:18:51.655556Z,75,heartRate,R02_000D,AL
90,2024-10-18T10:19:26.557429Z,75,heartRate,R02_000D,AL
91,2024-10-18T10:19:27.251493Z,75,heartRate,R02_000D,AL
92,2024-10-18T10:19:27.515331Z,76,heartRate,R02_000D,AL
93,2024-10-18T10:19:28.03926Z,76,heartRate,R02_000D,AL
94,2024-10-18T10:19:28.562914Z,75,heartRate,R02_000D,AL
95,2024-10-18T10:19:29.090337Z,75,heartRate,R02_000D,AL
96,2024-10-18T10:19:29.526765Z,75,heartRate,R02_000D,AL
97,2024-10-18T10:19:30.051892Z,75,heartRate,R02_000D,AL
98,2024-10-18T10:19:30.666628Z,74,heartRate,R02_000D,AL
99,2024-10-18T10:19:31.016827Z,74,heartRate,R02_000D,AL
100,2024-10-18T10:20:06.21276Z,85,heartRate,R02_000D,AL
101,2024-10-18T10:20:06.801638Z,85,heartRate,R02_000D,AL
102,2024-10-18T10:20:07.151448Z,85,heartRate,R02_000D,AL
103,2024-10-18T10:20:07.678315Z,87,heartRate,R02_000D,AL
104,2024-10-18T10:20:08.215727Z,87,heartRate,R02_000D,AL
105,2024-10-18T10:20:08.728815Z,87,heartRate,R02_000D,AL
106,2024-10-18T10:20:09.253553Z,87,heartRate,R02_000D,AL
107,2024-10-18T10:20:09.687552Z,87,heartRate,R02_000D,AL
108,2024-10-18T10:20:10.135564Z,87,heartRate,R02_000D,AL
109,2024-10-18T10:20:10.656086Z,87,heartRate,R02_000D,AL
110,2024-10-18T10:20:46.631848Z,69,heartRate,R02_000D,AL
111,2024-10-18T10:20:47.139117Z,69,heartRate,R02_000D,AL
112,2024-10-18T10:20:48.103665Z,69,heartRate,R02_000D,AL
113,2024-10-18T10:20:48.112332Z,71,heartRate,R02_000D,AL
114,2024-10-18T10:20:48.626059Z,73,heartRate,R02_000D,AL
115,2024-10-18T10:20:49.238778Z,73,heartRate,R02_000D,AL
116,2024-10-18T10:20:49.764805Z,73,heartRate,R02_000D,AL
117,2024-10-18T10:20:50.37542Z,73,heartRate,R02_000D,AL
118,2024-10-18T10:20:50.551588Z,73,heartRate,R02_000D,AL
119,2024-10-18T10:20:51.254947Z,75,heartRate,R02_000D,AL
120,2024-10-18T10:21:26.347208Z,71,heartRate,R02_000D,AL
121,2024-10-18T10:21:26.864424Z,71,heartRate,R02_000D,AL
122,2024-10-18T10:21:27.302971Z,71,heartRate,R02_000D,AL
123,2024-10-18T10:21:27.827171Z,71,heartRate,R02_000D,AL
124,2024-10-18T10:21:28.265139Z,71,heartRate,R02_000D,AL
125,2024-10-18T10:21:28.966323Z,74,heartRate,R02_000D,AL
126,2024-10-18T10:21:29.315072Z,74,heartRate,R02_000D,AL
127,2024-10-18T10:21:29.840671Z,75,heartRate,R02_000D,AL
128,2024-10-18T10:21:30.277725Z,77,heartRate,R02_000D,AL
129,2024-10-18T10:21:31.153384Z,77,heartRate,R02_000D,AL
130,2024-10-18T10:22:06.087281Z,77,heartRate,R02_000D,AL
131,2024-10-18T10:22:06.518664Z,77,heartRate,R02_000D,AL
132,2024-10-18T10:22:06.940104Z,77,heartRate,R02_000D,AL
133,2024-10-18T10:22:07.466654Z,77,heartRate,R02_000D,AL
134,2024-10-18T10:22:07.990377Z,77,heartRate,R02_000D,AL
135,2024-10-18T10:22:08.691028Z,77,heartRate,R02_000D,AL
136,2024-10-18T10:22:08.952131Z,78,heartRate,R02_000D,AL
137,2024-10-18T10:22:09.564694Z,78,heartRate,R02_000D,AL
138,2024-10-18T10:22:10.034982Z,78,heartRate,R02_000D,AL
139,2024-10-18T10:22:10.440553Z,81,heartRate,R02_000D,AL
140,2024-10-18T10:22:46.583738Z,86,heartRate,R02_000D,AL
141,2024-10-18T10:22:47.104358Z,86,heartRate,R02_000D,AL
142,2024-10-18T10:22:47.541325Z,87,heartRate,R02_000D,AL
143,2024-10-18T10:22:48.240355Z,87,heartRate,R02_000D,AL
144,2024-10-18T10:22:48.59112Z,87,heartRate,R02_000D,AL
145,2024-10-18T10:22:49.202759Z,87,heartRate,R02_000D,AL
146,2024-10-18T10:22:49.63801Z,87,heartRate,R02_000D,AL
147,2024-10-18T10:22:50.251872Z,87,heartRate,R02_000D,AL
148,2024-10-18T10:22:50.863827Z,86,heartRate,R02_000D,AL
149,2024-10-18T10:22:51.039947Z,86,heartRate,R02_000D,AL
150,2024-10-18T10:23:26.398618Z,87,heartRate,R02_000D,AL
151,2024-10-18T10:23:26.916458Z,87,heartRate,R02_000D,AL
152,2024-10-18T10:23:27.351982Z,87,heartRate,R02_000D,AL
153,2024-10-18T10:23:27.877116Z,87,heartRate,R02_000D,AL
154,2024-10-18T10:23:28.422355Z,87,heartRate,R02_000D,AL
155,2024-10-18T10:23:28.841129Z,87,heartRate,R02_000D,AL
156,2024-10-18T10:23:29.629148Z,87,heartRate,R02_000D,AL
157,2024-10-18T10:23:29.89145Z,87,heartRate,R02_000D,AL
158,2024-10-18T10:23:30.32828Z,87,heartRate,R02_000D,AL
159,2024-10-18T10:23:30.853198Z,87,heartRate,R02_000D,AL
160,2024-10-18T10:24:06.008766Z,86,heartRate,R02_000D,AL
161,2024-10-18T10:24:06.671232Z,86,heartRate,R02_000D,AL
162,2024-10-18T10:24:07.105909Z,86,heartRate,R02_000D,AL
163,2024-10-18T10:24:07.633734Z,85,heartRate,R02_000D,AL
164,2024-10-18T10:24:07.981914Z,84,heartRate,R02_000D,AL
165,2024-10-18T10:24:08.507943Z,84,heartRate,R02_000D,AL
166,2024-10-18T10:24:08.947853Z,83,heartRate,R02_000D,AL
167,2024-10-18T10:24:09.469061Z,83,heartRate,R02_000D,AL
168,2024-10-18T10:24:09.995577Z,83,heartRate,R02_000D,AL
169,2024-10-18T10:24:10.521543Z,82,heartRate,R02_000D,AL
170,2024-10-18T10:32:35.784775Z,68,heartRate,R02_000D,AL
171,2024-10-18T10:32:36.292988Z,68,heartRate,R02_000D,AL
172,2024-10-18T10:32:36.814668Z,68,heartRate,R02_000D,AL
173,2024-10-18T10:32:37.252617Z,68,heartRate,R02_000D,AL
174,2024-10-18T10:32:37.786267Z,68,heartRate,R02_000D,AL
175,2024-10-18T10:32:38.742741Z,68,heartRate,R02_000D,AL
176,2024-10-18T10:32:38.754502Z,67,heartRate,R02_000D,AL
177,2024-10-18T10:32:39.358014Z,67,heartRate,R02_000D,AL
178,2024-10-18T10:32:39.79223Z,67,heartRate,R02_000D,AL
179,2024-10-18T10:32:40.229527Z,67,heartRate,R02_000D,AL
180,2024-10-18T10:33:17.004618Z,76,heartRate,R02_000D,AL
181,2024-10-18T10:33:17.250543Z,76,heartRate,R02_000D,AL
182,2024-10-18T10:33:17.76624Z,76,heartRate,R02_000D,AL
183,2024-10-18T10:33:18.290336Z,76,heartRate,R02_000D,AL
184,2024-10-18T10:33:18.815196Z,77,heartRate,R02_000D,AL
185,2024-10-18T10:33:19.340892Z,77,heartRate,R02_000D,AL
186,2024-10-18T10:33:19.8676Z,78,heartRate,R02_000D,AL
187,2024-10-18T10:33:20.393125Z,78,heartRate,R02_000D,AL
188,2024-10-18T10:33:20.741822Z,78,heartRate,R02_000D,AL
189,2024-10-18T10:33:21.265668Z,79,heartRate,R02_000D,AL
